id,chapter_id,question_text,needs_review
1,9,Which of the following is true concerning the procedure for inserting a nasopharyngeal airway (NPA)?,FALSE
2,9,Which of the following is the correct method of suctioning?,FALSE
3,9,"When inserting an oropharyngeal airway, how many degrees do you need to rotate the airway so the tip is pointing down into the patient's pharynx?",FALSE
4,9,What is the sound of the soft tissue of the upper airway creating impedance or partial obstruction to the flow of air?,FALSE
5,9,"You have performed a head tilt-chin lift maneuver on a 17-month-old boy and are attempting to ventilate him with a bag-valve mask. You are experiencing a lot of resistance with each breath and the chest is barely rising. Prior to attempting ventilations again, you should:",FALSE
6,9,"To be effective, a suction unit must be able to generate air flow of at least ________ liters per minute and create a vacuum of no less than ________ mmHg.",FALSE
7,9,The high-pitched sound caused by an upper airway obstruction is known as:,FALSE
8,9,"When suctioning the airway, you should try to limit suctioning to no longer than ________ seconds at a time.",FALSE
9,9,Which of the following is an advantage of using a nasopharyngeal airway (NPA)?,FALSE
10,9,Which of the following is a disadvantage of oropharyngeal airways (OPAs)?,FALSE
11,10,A ________ is not typically used in the prehospital setting for oxygen administration.,FALSE
12,10,Which of the following describes why fast respiration may decrease minute volume?,FALSE
13,10,The movement of oxygen and carbon dioxide across the cell membranes from the capillaries is called:,FALSE
14,10,The oxygen flow rate for a nasal cannula should not exceed ________ liters per minute.,FALSE
15,10,Which of these patients would require a tracheostomy mask for supplemental oxygen administration?,FALSE
16,10,When does respiratory distress change to respiratory failure?,FALSE
17,10,The movement of oxygen and carbon dioxide between the alveoli and circulating blood is called:,FALSE
18,10,"While ventilating an intubated patient with a bag-valve-mask-unit, you notice increased resistance to the ventilations. This may indicate that:",FALSE
19,10,The safe residual for an oxygen cylinder is ________ psi.,FALSE
20,10,What are the signs of hypoxia?,FALSE
21,11,"Your patient, a 29-year-old female, was the front seat passenger in a vehicle that was struck in the passenger's side door by another vehicle that ran a red light. Which of the following is most likely to have occurred?",FALSE
22,11,Which of the following situations requires additional action by the EMT during scene size-up?,FALSE
23,11,Which of the following is true concerning scene size-up?,FALSE
24,11,"As you approach the scene of a motorcycle accident, you see an EMR trying to stop the bleeding on the patient's left arm. You notice that the EMR has blood covering the front of his shirt and running down his arms. What Standard Precautions are needed?",FALSE
25,11,Your patient fell out of a tree while putting the roof on a tree house. A 15-foot ladder is required to enter the tree house and there is enough room for an adult to stand up inside. Your patient should be transported to:,FALSE
26,11,Which of the following situations will not require additional resources at the scene?,FALSE
27,11,"You are dispatched to a local bar for the report of an unresponsive female patient found in the bathroom. As you approach the scene, you notice a large crowd outside the front door holding beer bottles. The group has pulled the patient outside. As you approach the scene, people from the group start yelling, ""Do something! She's not breathing."" What concerns you the most about this scene?",FALSE
28,11,You are called to a motor vehicle collision where the car is on fire. You should ensure safety by:,FALSE
29,11,"You and your partner are en route to a motor vehicle crash involving a tanker truck on a rural road. Dispatch informs you that fluid is leaking from the truck, that there are several bystanders passed out on the ground near the cab of the truck, and that a caller has reported the code that appears on a placard attached to the tanker truck. You should:",FALSE
30,11,Which law of physics explains why a patient's liver can be injured from the impact of his car with a tree?,FALSE
31,12,Which of the following describes the chief complaint?,FALSE
32,12,"Which of the following differences should be expected when assessing a pediatric patient, as compared to an adult patient?",FALSE
33,12,Which of the following is the most reliable means of determining whether a patient has any immediately life- threatening conditions?,FALSE
34,12,"Which term refers to the EMT's initial sense of the patient's condition, based on immediate assessment of the patient's environment, appearance, and chief complaint?",FALSE
35,12,You are approaching a young adult male lying supine on the ground with his eyes closed. You should:,FALSE
36,12,"You enter a room to find a 16-year-old female sitting upright in a chair with her back straight, leaning forward, and her arms supporting her. She is having a hard time talking to you. You should suspect:",FALSE
37,12,Which of the following is the purpose of the primary assessment?,FALSE
38,12,You are approaching a 16-year-old male with bright red spurting blood coming from his leg. He is screaming and he begs you to help him. You should:,FALSE
39,12,Which of the following represents the correct order of assessment for the EMT during the primary assessment from start to end?,FALSE
40,12,For which of the following patients would capillary refill be a reliable sign of circulatory status?,FALSE
41,13,"When the EMT checks the pupils, he or she is checking for what three things?",FALSE
42,13,You are assessing a 48-year-old male who is unconscious. The scene is safe and you hear the patient gurgling. What is your next action?,FALSE
43,13,"Your patient is warm, dry, pink, and denies shortness of breath. Which of the following should the EMT expect to find when evaluating the patient's oxygen saturation?",FALSE
44,13,"You are assessing an 82-year-old female who has been lost in the woods behind her nursing home for several hours on a crisp fall evening. Your pulse oximeter shows her oxygen saturation to be 82 percent even though she appears to be breathing adequately. In order to ensure an accurate reading, you should:",FALSE
45,13,The abbreviation mmHg indicates that the blood pressure is measured by which of the following comparisons?,FALSE
46,13,"When the heart contracts and forces blood into the arteries, the pressure created is known as the:",FALSE
47,13,A(n) ________ set of vital signs is important for critical decision making for the EMT.,FALSE
48,13,You are transporting a patient to the hospital from a motor vehicle crash. Your patient's initial blood pressure was 88/52. You should reassess blood pressure:,FALSE
49,13,Slight movement of the chest during respiration is usually indicative of which of the following?,FALSE
50,13,"When taking blood pressure manually, the cuff should be inflated to what point?",FALSE
51,14,________ are signs or symptoms that suggest the possibility of a particular problem that is very serious.,FALSE
52,14,What is the feeling of bone ends rubbing together called?,FALSE
53,14,"Of the following, which would most likely give the best information regarding your patient's mental status?",FALSE
54,14,Which of the following is one advantage of using heuristics?,FALSE
55,14,"You are on the scene of a 16-year-old patient in respiratory distress. The patient has a history of asthma. After placing the patient on oxygen and performing the primary and secondary assessments, you are confident that the patient is indeed having an asthma attack. How can you be sure your field diagnosis is accurate?",FALSE
56,14,"While an EMT forms a field diagnosis on the scene of an emergency, how do the steps differ from the traditional approach to diagnosis?",FALSE
57,14,Mrs. Butler is a 66-year-old woman who is complaining of chest pain. Which of the following questions would be best in helping you determine if the pain is radiating?,FALSE
58,14,"Mr. Hughes is a 49-year-old man complaining of chest pain. To find out about the quality of his chest pain, which of the following questions is most appropriate?",FALSE
59,14,"Your patient is a 22-year-old college student complaining of abdominal pain. She is alert and oriented, although somewhat uncomfortable. Which of the following should be your first action?",FALSE
60,14,An EMT's assessment differs from an assessment made in the emergency department in which way?,FALSE
61,15,An unconscious trauma patient should always be assumed to have which of the following types of injury?,FALSE
62,15,"In medical terms, bruises are known as which of the following?",FALSE
63,15,"When a patient describes how he feels, he is telling you which of the following?",FALSE
64,15,What term describes a permanent surgical opening in the neck through which a patient breathes?,FALSE
65,15,"Your patient is a 45-year-old female who complains of ""twisting her ankle"" when she slipped on a patch of ice. Which of the following is not appropriate?",FALSE
66,15,You are assessing a patient who has been involved in a motor vehicle crash. Which of the following questions would be the most important to ask him?,FALSE
67,15,"If a patient complains of abdominal pain localized to a specific area of the abdomen, which of the following techniques should be used to assess the abdomen?",FALSE
68,15,"The patient was a driver in a lateral impact motor vehicle collision. During the assessment of his chest, the EMT notes a segment of the chest wall moving in the opposite direction from the rest of the chest. Which of the following best describes this finding?",FALSE
69,15,"The ambulance is called for an assaulted patient. While transporting the patient to the hospital, the EMT notes the patient's jugular veins are flat (nondistended). Which of these is most likely the cause of this finding?",FALSE
70,15,Which of the following situations is most likely to result in hidden or unsuspected injury?,FALSE
71,16,"You are called for an alert patient with respiratory distress. As part of your primary assessment, you place the patient on oxygen via nasal cannula at 2 liters per minute. You continue with the rest of your assessment including taking a set of vital signs. During your reassessment, you notice that the patient's respiratory rate has increased to 24 times per minute and he is having increasing trouble breathing. You should:",FALSE
72,16,________ is reassessing and recording findings of the reassessment so they can be compared to earlier findings.,FALSE
73,16,"Your 76-year-old female patient is having trouble breathing. When you auscultate her lungs, you hear crackles (rales), and you are concerned that she may have pulmonary edema. Her oxygen saturation is 92%, so you place her on 100% oxygen via a nonrebreather mask. Her breathing gets a little easier with the oxygen. You decide to expedite transport since she is anxious about her condition. Later, as you are completing your reassessment, you see that her respirations have slowed to 8 times per minute and she is barely staying awake. What should you do next?",FALSE
74,16,You are transporting a 20-year-old soccer player who injured his ankle during a match. His injury appears to be isolated and he has no significant past medical history. How frequently should you perform a reassessment on this patient?,FALSE
75,16,"During reassessment, you notice that your patient is making gurgling sounds. Which of the following should you do immediately?",FALSE
76,16,"You are treating a 57-year-old male for chest pain. You have gathered all pertinent history of the present illness, completed two sets of vital signs, talked with medical direction, and assisted the patient with two doses of his nitroglycerin. Determination of whether or not the nitroglycerin was effective is assessed during the:",FALSE
77,16,"You have a long transport of a patient who may have sustained a spinal injury. The patient has been stable throughout your transport. During one of your reassessments, your patient tells you that he is losing the feeling in his feet and toes and his fingers are tingling. At this point you should:",FALSE
78,16,Your patient is an 18-year-old female whom you believe may have had a miscarriage and is bleeding heavily. You have completed your primary and secondary assessments and now you need to reassess her to see if the bleeding has stopped. You should:,FALSE
79,16,You are transporting a 30-year-old male who has been shot in the chest. He is suffering from a sucking chest wound and has a decreased level of consciousness. How often should you perform a reassessment?,FALSE
80,16,On which of the following patients should a reassessment be performed?,FALSE
81,17,Which of the following is one the most common situations in which an EMT may be liable?,FALSE
82,17,You have an urgent transmission you need to make to the dispatch center. Which of the following is the appropriate way to communicate this?,FALSE
83,17,Which of the following is not appropriate for inclusion in the radio report to the receiving hospital?,FALSE
84,17,You suspect that a 6-year-old female patient with multiple bruises and a broken wrist was abused. The stepmother states the patient fell down the stairs. The patient is crying and sheepishly nods in agreement with the stepmother's statements. How should you document this situation in the patient report?,FALSE
85,17,"You have responded to a call at a government office building. One of the office workers became very upset during a fire drill and experienced an episode of difficulty breathing. As your partner is speaking with the patient, who is not sure she wants to be transported, an individual wearing civilian clothes approaches you and states she is a security guard in the building. She asks you for the ""yellow copy"" of your prehospital care report. Which of the following should you do?",FALSE
86,17,Your elderly male patient tells you his name is Joe Smith. Which of the following is the best way to address him?,FALSE
87,17,"You are treating a patient with a possible fractured ankle. The patient appears to be in a lot of pain and is uneasy. As you are getting ready to splint the patient's leg, he asks you if it is going to hurt. Which of the following is the best response?",FALSE
88,17,Which of the following best describes the position you should take when dealing with a cooperative patient who is sitting in a chair?,FALSE
89,17,Which of the following is not part of a medical radio report?,FALSE
90,17,You are attempting to place a nonrebreather mask on a patient who is experiencing difficulty breathing. The patient is anxious and does not want the mask on his face. Which of the following is the best course of action?,FALSE
